,D012811_Colon cancer,D003110_Colon cancer,D003123_Colon cancer,D055847_Colon cancer,D010508_Periodontal,D010510_Periodontal,D016301_Periodontal,D005764_Gastro-oesophageal reflux,D056128_Obesity,D009767_Obesity,D063766_Obesity,D009765_Obesity,D016585_Bacterial Vaginosis,D003093_Ulcerative colitis,D003876_Atopic dermatitis,D003877_Eczema,D004485_Eczema,D003876_Eczema,D021181_Allergy,D006967_Allergy,D021182_Allergy,D005512_Allergy,D006255_Allergy,D021183_Allergy,D004342_Allergy,D016269_Allergy,D000092542_Allergy,D001250_Asthma,D055963_Asthma,D004418_Asthma,D001249_Asthma,D059366_Asthma,D003550_Cystic fibrosis,D015535_Psoriasis,D011565_Psoriasis,D020345_Necrotizing Enterocolitis,D018746_Systemic inflammatory response syndrome,D029424_COPD,D003924_Type 2 diabetes,D003922_Type 1 diabetes,D015179_Colorectal carcinoma,D007669_Kidney stones,D008106_Liver cirrhosis,D008103_Liver cirrhosis,D008105_Liver cirrhosis,D008104_Liver cirrhosis
D012811_Colon cancer,0.9999999999999998,0.005915606553503762,0.027256963340035873,0.032141217326661246,0.0,0.017292861596651866,0.015624999999999997,0.021875094944194515,0.021884405476620426,0.02228282589107932,0.016611387354627385,0.0,0.0,0.023682324543709943,0.029586316770696928,0.023659114699589204,0.016835875742536845,0.029586316770696928,0.0,0.02367236910662306,0.0,0.0,0.0,0.011694506743124696,0.023659114699589204,0.0,0.0,0.0,0.02516835207052591,0.0,0.011831213107007525,0.017764234361221216,0.01843650798412048,0.017761743407782457,0.023692292551675872,0.021049651537597323,0.0,0.011834526708278772,0.0,0.02961536568959484,0.0,0.014312025866090473,0.0,0.01184780900955036,0.02369561801910072,0.02368896848395671
D003110_Colon cancer,0.005915606553503762,0.9999999999999991,0.20316425341328934,0.09430685874417225,0.0,0.1325779039454236,0.16267918022135347,0.3685438878696021,0.11806709360081089,0.221978869588199,0.14071753047768296,0.6606942889137729,0.0,0.6514432113693264,0.5133016163177961,0.5844646663261375,0.1473997369772585,0.5133016163177961,0.0,0.574709475166103,0.0,0.15130801274031286,0.05044846219539785,0.18872331479040994,0.5002099419180114,0.0,0.0,0.0,0.32516717349325586,0.0,0.7536394176931682,0.4682642016904463,0.2621877584008284,0.46231453710081216,0.7178702277236291,0.37854522801773477,0.007482716180196244,0.6978437686109921,0.7565448765164602,0.5603368157827155,0.7509794124918644,0.32274036499605674,0.6521982893639646,0.6150833068307838,0.48247874706279803,0.6177133926592038
D003123_Colon cancer,0.027256963340035873,0.20316425341328936,1.0000000000000007,0.4205145515409271,0.0,0.41855959439081764,0.3901152878042633,0.37126416622051295,0.32688333591150837,0.44337438295065257,0.40387617072777493,0.15930657331137296,0.0,0.24529313571999894,0.2922513741346125,0.25408099507761644,0.4313611570370224,0.2922513741346125,0.0,0.2671280753211635,0.0,0.3485861440424619,0.12203528630525946,0.3111065797793005,0.30309154235147145,0.0,0.0,0.0,0.3786790930429235,0.0,0.2109038440195099,0.3382937605436655,0.44925576068385736,0.3356642909852618,0.23764702142425587,0.4100397000406931,0.017238817250844786,0.22386584288015562,0.1877113494249463,0.2906009772850955,0.17468797227586802,0.39322318326850303,0.15225457901935657,0.2273464482664749,0.31970594287473053,0.26279556363090273
D055847_Colon cancer,0.032141217326661246,0.09430685874417222,0.420514551540927,0.9999999999999997,0.0,0.2712370479155966,0.25311208644745736,0.18561633568967403,0.2194581269365159,0.2692901282561178,0.2904471548179626,0.07605391834207438,0.0,0.11265445351406592,0.13693539416002737,0.11254404660275354,0.25541125541125537,0.13693539416002737,0.0,0.12325911913505197,0.0,0.23680071746089543,0.08223036670302646,0.19846236049668672,0.14448222199002145,0.0,0.0,0.0,0.20493183999201678,0.0,0.0973490154778552,0.1613925238081333,0.23702872394493668,0.1613698928714998,0.11270187033279726,0.1894371989217133,0.0,0.1095483153280219,0.08823489705079424,0.1294548510579428,0.0790518255198042,0.1913624684386734,0.06998920145956955,0.10814805319868823,0.14927477765452743,0.12182276548596505
D010508_Periodontal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D010510_Periodontal,0.017292861596651866,0.1325779039454236,0.41855959439081786,0.27123704791559666,0.0,1.0,0.32856437033638547,0.28951258113169603,0.2967000921052505,0.36837913585558973,0.42514246522887766,0.11048158662118632,0.0,0.16381406424854705,0.2202064476926839,0.16447178599172177,0.35402681039412776,0.2202064476926839,0.0,0.1825758991710578,0.0,0.3125036116103161,0.12535291632831652,0.27988837738515493,0.23156972853560837,0.0,0.0,0.018486846666163393,0.3075645324731306,0.0,0.14321687154598228,0.26213926073948673,0.32902222028360156,0.2653787840826463,0.16552184454542082,0.3115914563569922,0.021873931962990357,0.15226170732653976,0.1252299954590387,0.2081314282897866,0.12187071875275947,0.3049149272030452,0.09659613690608437,0.14997400568362662,0.23930278502524038,0.1818846236920671
D016301_Periodontal,0.015624999999999997,0.16267918022135347,0.39011528780426324,0.25311208644745736,0.0,0.32856437033638547,1.0,0.3335951978989663,0.2954394739343758,0.35791789087546155,0.3592212515438171,0.13679840154977452,0.0,0.20426004918949828,0.24704574503531931,0.20258116961523265,0.37880720420707903,0.24704574503531931,0.0,0.22340798344375512,0.0,0.31711567137846786,0.10660035817780522,0.2821299751778833,0.25507483035494605,0.0,0.0,0.0,0.3408214342883715,0.0,0.17820764742430084,0.30051163127732544,0.38486210416851496,0.3100904369942019,0.20360563911596458,0.34030269985782335,0.019764235376052368,0.1923110590095301,0.1553064129707115,0.23396138894779922,0.14263416809249627,0.34885563048595514,0.12500218835619453,0.19252689640519338,0.2658352146517861,0.21838267821147594
D005764_Gastro-oesophageal reflux,0.021875094944194515,0.3685438878696022,0.37126416622051245,0.18561633568967403,0.0,0.28951258113169576,0.3335951978989662,0.9999999999999992,0.22978725484719462,0.384101878409945,0.30426656564987076,0.3119510062117231,0.0,0.4579589385373083,0.4929101767715401,0.3912643075439209,0.32212782066779394,0.4929101767715401,0.0,0.4722658134463934,0.0,0.3101665371217485,0.09949409946558427,0.31175741204383656,0.5089196240099498,0.0,0.0,0.02338546016695049,0.7967216252109836,0.01458339662946301,0.37717085153696184,0.6739088934892478,0.46030014717171,0.6617264903751753,0.4270554267871586,0.5603324616837957,0.036893399496580576,0.414210232581126,0.33201203942276913,0.4778459993904856,0.332814503393019,0.4666933356998765,0.2961603162955051,0.37424429141687837,0.5148882679696665,0.4442687913636849
D056128_Obesity,0.021884405476620426,0.1180670936008109,0.3268833359115084,0.21945812693651587,0.0,0.2967000921052505,0.29543947393437586,0.22978725484719478,1.0000000000000007,0.3179454508213859,0.31699845333894355,0.10460330222527982,0.0,0.14408005883828423,0.1854379720732326,0.14704544724224541,0.29475450504293954,0.1854379720732326,0.0,0.1605972744776842,0.0,0.25553998315691706,0.10264696034190664,0.25592732741561275,0.1822535120748957,0.0,0.0,0.0,0.24969347125667687,0.0,0.1263525036780608,0.2073385107960952,0.26467764269112243,0.20730943717738737,0.13791880200784268,0.25674067696688646,0.08304547985373997,0.13571158850052223,0.10979705372783984,0.169028306220138,0.10350968603047875,0.2505681417963229,0.08391327227894882,0.13793816039126425,0.1897946116661756,0.15345202152123416
D009767_Obesity,0.02228282589107932,0.22197886958819898,0.44337438295065235,0.26929012825611776,0.0,0.3683791358555896,0.3579178908754616,0.384101878409945,0.317945450821386,1.0000000000000002,0.3849545983217364,0.18296120605013078,0.0,0.2670208119387827,0.32066734494298715,0.2583240474581306,0.3511412310695276,0.32066734494298715,0.0,0.2880080544608066,0.0,0.32369156343359073,0.09026357440570364,0.2918570565557929,0.3316037262268656,0.0,0.0,0.0,0.4060351331787101,0.02228282589107932,0.23199691833445982,0.39161507638492055,0.4247852923629385,0.3889216173890966,0.269772858473539,0.43402363983258513,0.02818579300831268,0.2436649890849672,0.21146315729642132,0.31570287547392634,0.17706217187668824,0.42032651752894185,0.16455297964179605,0.24710649476813504,0.34214745429434074,0.2940164382688709
D063766_Obesity,0.016611387354627385,0.14071753047768298,0.4038761707277751,0.2904471548179626,0.0,0.4251424652288776,0.3592212515438171,0.30426656564987103,0.31699845333894355,0.3849545983217364,0.9999999999999998,0.11634745536702282,0.0,0.18725662283189706,0.23511913714264293,0.18550105924642937,0.37363545056064246,0.23511913714264293,0.0,0.20683944962954284,0.0,0.3048068056814203,0.12749614861201514,0.2735208698553357,0.2365924526829459,0.0,0.0,0.035516640114288456,0.31439709648150044,0.03322277470925477,0.15879855394688253,0.2683338802910026,0.34668176436890547,0.27616417905040275,0.18733544007403966,0.3394071071867424,0.042023855308753355,0.16356113888183857,0.13366105824530794,0.2203946353812231,0.11549667421508146,0.3347415885314342,0.10537111831810755,0.17319151938993108,0.2479787663992195,0.19754032902231977
D009765_Obesity,0.0,0.6606942889137729,0.1593065733113729,0.0760539183420744,0.0,0.11048158662118632,0.13679840154977452,0.31195100621172317,0.1046033022252798,0.18296120605013075,0.1163474553670228,0.9999999999999988,0.0,0.5441302006362286,0.4855782884315652,0.5609517199796835,0.12509058759691663,0.4855782884315652,0.0,0.5181347607491673,0.0,0.1266382280543923,0.032791500427008596,0.24738804020912974,0.4254723624596403,0.0,0.0,0.0,0.2656127461135386,0.0,0.6699328107502792,0.3855963743423424,0.21376372981099165,0.3796583016797579,0.5665036041505095,0.30482852571954433,0.007482716180196244,0.6157939194123481,0.7305053970508679,0.48885813242874243,0.7680471264121341,0.2844720950647301,0.7398488108628575,0.5977017366286375,0.400056462555847,0.5277469684107444
D016585_Bacterial Vaginosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D003093_Ulcerative colitis,0.023682324543709943,0.6514432113693268,0.2452931357199988,0.11265445351406596,0.0,0.16381406424854703,0.20426004918949825,0.4579589385373087,0.14408005883828412,0.26702081193878263,0.18725662283189692,0.5441302006362292,0.0,1.0,0.6339687094629076,0.6614374940407519,0.1842052550702969,0.6339687094629076,0.0,0.7439383979253438,0.0,0.20410838239730117,0.05301542985569266,0.22211638946356527,0.633142200987759,0.0,0.0,0.0,0.3794820355174294,0.0,0.7013171432505058,0.582527000539152,0.34230958257759037,0.6107683679192375,0.7569084693195749,0.4330343980378228,0.014978017169086252,0.6992714103050196,0.6473309701217624,0.708935397320447,0.5813503318317994,0.38944440561309634,0.5442825967183761,0.6453424136209429,0.6049383668551105,0.7654979263290222
D003876_Atopic dermatitis,0.02958631677069693,0.5133016163177971,0.2922513741346125,0.13693539416002742,0.0,0.22020644769268385,0.24704574503531937,0.4929101767715404,0.18543797207323262,0.3206673449429873,0.23511913714264282,0.48557828843156586,0.0,0.6339687094629084,1.0000000000000013,0.6355873443107993,0.24626635171954125,1.0000000000000013,0.0,0.7905869246912721,0.0,0.2549925048960202,0.07064762801416988,0.39858898288796757,0.6742265749340991,0.0,0.0,0.012651641222001362,0.43129481436433914,0.0,0.5715486082403841,0.598458451079989,0.3809551063699884,0.6199552543465752,0.6490960646960214,0.48560361836835,0.014969623771302395,0.6361344537815132,0.5013303508055249,0.7135850905621489,0.4704731577205621,0.44003898403601965,0.43725490196078454,0.6155360013741016,0.6138534428282042,0.6537709068612867
D003877_Eczema,0.023659114699589204,0.5844646663261386,0.25408099507761633,0.11254404660275355,0.0,0.16447178599172177,0.20258116961523256,0.3912643075439211,0.14704544724224528,0.2583240474581306,0.18550105924642932,0.5609517199796847,0.0,0.661437494040752,0.6355873443107992,1.0000000000000009,0.18721130017253398,0.6355873443107992,0.0,0.6491179959534398,0.0,0.19815286862087433,0.04791933192177373,0.3447453687828204,0.5382031905961382,0.0,0.0,0.0,0.3413975989700972,0.0,0.6731980471812081,0.45699104072760316,0.32190929530747464,0.4628101398370701,0.6395746190199842,0.4216536483635248,0.014963337974774452,0.6722666139604533,0.6038634055227758,0.587164253657698,0.5740663535251169,0.44324030876806253,0.5067899088998002,0.6511570457430934,0.5376320334633032,0.6551777662754799
D004485_Eczema,0.016835875742536845,0.14739973697725844,0.4313611570370226,0.25541125541125537,0.0,0.35402681039412776,0.37880720420707914,0.3221278206677942,0.2947545050429395,0.35114123106952755,0.37363545056064246,0.12509058759691663,0.0,0.184205255070297,0.24626635171954128,0.18721130017253404,0.9999999999999996,0.24626635171954128,0.0,0.20644634357187716,0.0,0.339350534007303,0.12921914767618442,0.2677666768606092,0.2421797244785121,0.0,0.0,0.0,0.3333352485083182,0.0,0.1633348436775026,0.2783404756960574,0.3501252865129495,0.2830859980517551,0.1858783099504243,0.32603817229383314,0.04259177099999599,0.16736548175114455,0.13706110445000225,0.21459770547924523,0.1290021548317684,0.30938684801142674,0.11396792328768417,0.16994694074079578,0.24734061797956197,0.19622166869346516
D003876_Eczema,0.02958631677069693,0.5133016163177971,0.2922513741346125,0.13693539416002742,0.0,0.22020644769268385,0.24704574503531937,0.4929101767715404,0.18543797207323262,0.3206673449429873,0.23511913714264282,0.48557828843156586,0.0,0.6339687094629084,1.0000000000000013,0.6355873443107993,0.24626635171954125,1.0000000000000013,0.0,0.7905869246912721,0.0,0.2549925048960202,0.07064762801416988,0.39858898288796757,0.6742265749340991,0.0,0.0,0.012651641222001362,0.43129481436433914,0.0,0.5715486082403841,0.598458451079989,0.3809551063699884,0.6199552543465752,0.6490960646960214,0.48560361836835,0.014969623771302395,0.6361344537815132,0.5013303508055249,0.7135850905621489,0.4704731577205621,0.44003898403601965,0.43725490196078454,0.6155360013741016,0.6138534428282042,0.6537709068612867
D021181_Allergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D006967_Allergy,0.02367236910662306,0.5747094751661046,0.2671280753211636,0.12325911913505201,0.0,0.18257589917105777,0.22340798344375512,0.4722658134463939,0.16059727447768427,0.2880080544608067,0.20683944962954276,0.5181347607491683,0.0,0.7439383979253442,0.7905869246912718,0.6491179959534394,0.2064463435718773,0.7905869246912718,0.0,1.0000000000000016,0.0,0.2262347162904723,0.060563592616397495,0.2912321875105834,0.6998040862328069,0.0,0.0,0.012653413532890774,0.4051402736128728,0.0,0.65004907010747,0.6400337423223766,0.3941015472996848,0.6391030698077563,0.7167697432711408,0.45942810134422335,0.01497172079782684,0.726992583123264,0.5621848960048694,0.7487383468442665,0.5307210384643323,0.41943385399945055,0.5140776069484352,0.6728372334412623,0.6341329657401807,0.7556429726907009
D021182_Allergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D005512_Allergy,0.0,0.15130801274031283,0.34858614404246197,0.2368007174608954,0.0,0.31250361161031603,0.3171156713784678,0.31016653712174874,0.255539983156917,0.3236915634335907,0.3048068056814202,0.12663822805439226,0.0,0.20410838239730125,0.25499250489602016,0.19815286862087442,0.3393505340073029,0.25499250489602016,0.0,0.2262347162904724,0.0,1.0000000000000002,0.11113855611859677,0.23897037568045723,0.25981869910454897,0.0,0.0,0.0,0.335869707825144,0.0,0.16693220970806255,0.30208984517198945,0.35367354468020673,0.3012244675702107,0.1976073799632596,0.3306497336539007,0.0219793491131929,0.17767219695980763,0.1431047840452458,0.22889521512410915,0.12903297982836756,0.30638440524358884,0.11515790543691234,0.1770481249998676,0.2544552122091121,0.21898411798182774
