,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0000000000000024,0.6580085080257914,0.0,0.2740969493608683,0.0,0.0,0.0,0.0,0.0,0.8245919100766944,0.0,0.0093955753500353,0.0,0.8163458211532022,0.0,0.0,0.815620568372998,0.0,0.815620568372998,0.0,0.8299287773222157,0.8409602198656928,0.0,0.3931110745501119,0.0,0.7727263115723828,0.7387509809430017,0.5150526803122006,0.8150317767524564,0.8230923208864681,0.8211598753305782,0.8310224825337088,0.6996181486536505,0.0,0.8395380620408789,0.0,0.0,0.0,0.0
Periodontal,0.6580085080257918,1.0000000000000009,0.0,0.3105436682296432,0.0,0.0,0.0,0.0,0.0,0.6902212554565859,0.0,0.0066104957515646,0.0,0.6591787836555045,0.0,0.0,0.6685738425744884,0.0,0.6685738425744884,0.0,0.7457041515408325,0.5771477115354244,0.0,0.4121340137187232,0.0,0.6745540779377432,0.8818658256256654,0.559173365798399,0.6935569094401736,0.5896265994932448,0.6370645388775303,0.6157305423213777,0.7649559170253274,0.0,0.6262923012698447,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.2740969493608681,0.3105436682296426,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.2956426046130191,0.0,0.0128458748884677,0.0,0.2603102991707327,0.0,0.0,0.2816931065011117,0.0,0.3028151495911769,0.0,0.5882802270987673,0.5894695186937841,0.0,0.3303927195242572,0.0,0.3217592193209904,0.3047983211882188,0.2850242367532732,0.2788594175558998,0.2416980097936399,0.2516008468559154,0.2504013915682089,0.3135862591015129,0.0,0.3280187337388109,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhea Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obesity,0.8245919100766946,0.6902212554565852,0.0,0.2956426046130189,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0051348939620684,0.0,0.9209429829565966,0.0,0.0,0.81615945086468,0.0,0.8518756210919411,0.0,0.9201955341656354,0.8775689448631858,0.0,0.403541723804336,0.0,0.7612559060386769,0.6818013123285154,0.4990405038974508,0.8179999363040846,0.9089129117354344,0.9190996538735025,0.9165628297846804,0.6716080055230031,0.0,0.9006118987748981,0.0,0.0,0.0,0.0
Ileal Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacterial Vaginosis,0.0093955753500353,0.0066104957515646,0.0,0.0128458748884677,0.0,0.0,0.0,0.0,0.0,0.0051348939620684,0.0,1.0000000000000002,0.0,0.003387515216329,0.0,0.0,0.0036823983345971,0.0,0.0041421452622463,0.0,0.0216219375032205,0.020476503894465,0.0,0.0083559948819881,0.0,0.0050387585544533,0.0044785448597971,0.0,0.0036343697853219,0.0031343034668133,0.0032659863237109,0.0032536717050207,0.0047035523117598,0.0,0.0044987573898828,0.0,0.0,0.0,0.0
Infectious colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulcerative colitis,0.8163458211532003,0.6591787836555033,0.0,0.2603102991707329,0.0,0.0,0.0,0.0,0.0,0.9209429829565944,0.0,0.003387515216329,0.0,0.9999999999999996,0.0,0.0,0.795865183128276,0.0,0.802981795165671,0.0,0.9031752850705448,0.8765603615518497,0.0,0.3861229618723401,0.0,0.7670128046445446,0.719976736858856,0.4906183339761955,0.8188736654230726,0.8828239470747163,0.9196156975176648,0.9057656309665164,0.680864127008906,0.0,0.901822381646012,0.0,0.0,0.0,0.0
Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergic sensitization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopic dermatitis,0.8156205683729966,0.6685738425744862,0.0,0.2816931065011111,0.0,0.0,0.0,0.0,0.0,0.8161594508646784,0.0,0.0036823983345971,0.0,0.7958651831282781,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.9063211468958656,0.8122595704686958,0.0,0.412996304176313,0.0,0.8387715301209577,0.7622173715012541,0.570011999288515,0.8751808006251253,0.798493157733305,0.7841985347841015,0.7945049780446128,0.7603461851055063,0.0,0.7896749934030336,0.0,0.0,0.0,0.0
Atopic sensitisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,0.8156205683729966,0.6685738425744862,0.0,0.3028151495911767,0.0,0.0,0.0,0.0,0.0,0.8518756210919401,0.0,0.0041421452622463,0.0,0.8029817951656709,0.0,0.0,1.0000000000000002,0.0,1.000000000000001,0.0,0.9063211468958656,0.8153398928973081,0.0,0.4316430670535358,0.0,0.8387715301209577,0.7622173715012541,0.570011999288515,0.8751808006251253,0.8220063660641483,0.8070078479179658,0.8049187081488837,0.7603461851055063,0.0,0.8150924130261682,0.0,0.0,0.0,0.0
Recurrent wheeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergy,0.8299287773222146,0.7457041515408334,0.0,0.5882802270987695,0.0,0.0,0.0,0.0,0.0,0.9201955341656344,0.0,0.0216219375032205,0.0,0.903175285070546,0.0,0.0,0.9063211468958644,0.0,0.9063211468958644,0.0,1.0000000000000024,0.9470244695423412,0.0,0.4420736679379753,0.0,0.8100096895040924,0.753786626213524,0.5323804645423224,0.8479640276206285,0.880427093842366,0.9016146781545736,0.9089529899730108,0.7612861824016781,0.0,0.909549698852612,0.0,0.0,0.0,0.0
Asthma,0.8409602198656927,0.5771477115354243,0.0,0.589469518693784,0.0,0.0,0.0,0.0,0.0,0.8775689448631855,0.0,0.020476503894465,0.0,0.876560361551851,0.0,0.0,0.812259570468696,0.0,0.815339892897308,0.0,0.9470244695423374,1.000000000000001,0.0,0.4384393126715459,0.0,0.7355189439091141,0.6544013475065829,0.4690093675573872,0.810914704654088,0.8899183532832341,0.860247164445254,0.8964169234608622,0.640857120864018,0.0,0.8798865889117189,0.0,0.0,0.0,0.0
Inflammatory bowel disease(IBD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cystic fibrosis,0.393111074550112,0.4121340137187235,0.0,0.3303927195242573,0.0,0.0,0.0,0.0,0.0,0.4035417238043364,0.0,0.0083559948819881,0.0,0.3861229618723402,0.0,0.0,0.4129963041763144,0.0,0.4316430670535357,0.0,0.4420736679379758,0.4384393126715448,0.0,1.000000000000001,0.0,0.4969095278538972,0.4286395820583647,0.3719370734405864,0.4165381223632213,0.3683393065006057,0.374153646226386,0.3831829380343199,0.4329602952312223,0.0,0.4844804599299587,0.0,0.0,0.0,0.0
Rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psoriasis,0.7727263115723816,0.6745540779377435,0.0,0.3217592193209906,0.0,0.0,0.0,0.0,0.0,0.7612559060386757,0.0,0.0050387585544533,0.0,0.7670128046445444,0.0,0.0,0.8387715301209577,0.0,0.8387715301209577,0.0,0.8100096895040925,0.7355189439091123,0.0,0.4969095278538972,0.0,1.0,0.7291234275307565,0.5309901793759523,0.8365283905397521,0.7323331565449585,0.7409312659454768,0.7546624096440054,0.7327363840002408,0.0,0.7625125583518657,0.0,0.0,0.0,0.0
Necrotizing Enterocolitis,0.7387509809429997,0.881865825625664,0.0,0.3047983211882189,0.0,0.0,0.0,0.0,0.0,0.6818013123285145,0.0,0.0044785448597971,0.0,0.719976736858856,0.0,0.0,0.7622173715012532,0.0,0.7622173715012532,0.0,0.7537866262135247,0.6544013475065816,0.0,0.4286395820583647,0.0,0.7291234275307565,0.9999999999999996,0.6899583352558659,0.7442678410050941,0.6581583835651549,0.7016507745988424,0.682437114076214,0.8609715422097063,0.0,0.7036506553576723,0.0,0.0,0.0,0.0
Systemic inflammatory response syndrome,0.5150526803122004,0.5591733657983984,0.0,0.2850242367532738,0.0,0.0,0.0,0.0,0.0,0.4990405038974511,0.0,0.0,0.0,0.4906183339761956,0.0,0.0,0.5700119992885151,0.0,0.5700119992885151,0.0,0.5323804645423222,0.4690093675573865,0.0,0.3719370734405866,0.0,0.5309901793759529,0.6899583352558661,1.0,0.4964208459620518,0.4665566165003847,0.4807880936225336,0.4802969952385336,0.7223479855923994,0.0,0.5177155714361006,0.0,0.0,0.0,0.0
COPD,0.8150317767524552,0.6935569094401717,0.0,0.2788594175559001,0.0,0.0,0.0,0.0,0.0,0.8179999363040825,0.0,0.0036343697853219,0.0,0.8188736654230727,0.0,0.0,0.8751808006251248,0.0,0.8751808006251248,0.0,0.8479640276206274,0.8109147046540867,0.0,0.4165381223632207,0.0,0.8365283905397515,0.7442678410050949,0.4964208459620519,0.9999999999999996,0.7903340834179101,0.8049150141848705,0.7886478019538844,0.7116076982258677,0.0,0.7951852842935673,0.0,0.0,0.0,0.0
Type 2 diabetes,0.8230923208864672,0.5896265994932445,0.0,0.2416980097936402,0.0,0.0,0.0,0.0,0.0,0.9089129117354317,0.0,0.0031343034668133,0.0,0.8828239470747165,0.0,0.0,0.7984931577333038,0.0,0.8220063660641486,0.0,0.8804270938423653,0.8899183532832342,0.0,0.3683393065006056,0.0,0.732333156544959,0.6581583835651557,0.4665566165003851,0.7903340834179101,0.999999999999999,0.8793437480584121,0.8991877694822341,0.6497400462549656,0.0,0.9098784630438796,0.0,0.0,0.0,0.0
Type 1 diabetes,0.8211598753305757,0.6370645388775293,0.0,0.2516008468559157,0.0,0.0,0.0,0.0,0.0,0.9190996538734992,0.0,0.0032659863237109,0.0,0.9196156975176644,0.0,0.0,0.7841985347840996,0.0,0.8070078479179636,0.0,0.9016146781545732,0.8602471644452522,0.0,0.3741536462263857,0.0,0.7409312659454766,0.7016507745988423,0.4807880936225337,0.8049150141848698,0.8793437480584109,0.9999999999999982,0.8923027789785,0.6711389506452493,0.0,0.9078411857056194,0.0,0.0,0.0,0.0
Colorectal carcinoma,0.8310224825337075,0.6157305423213781,0.0,0.250401391568209,0.0,0.0,0.0,0.0,0.0,0.9165628297846802,0.0,0.0032536717050207,0.0,0.9057656309665176,0.0,0.0,0.7945049780446132,0.0,0.8049187081488842,0.0,0.9089529899730124,0.8964169234608625,0.0,0.3831829380343198,0.0,0.7546624096440082,0.6824371140762158,0.4802969952385345,0.7886478019538858,0.8991877694822367,0.8923027789785031,1.0000000000000009,0.6685624651418219,0.0,0.8930147655390617,0.0,0.0,0.0,0.0
Kidney stones,0.6996181486536494,0.7649559170253276,0.0,0.3135862591015128,0.0,0.0,0.0,0.0,0.0,0.6716080055230028,0.0,0.0047035523117598,0.0,0.6808641270089061,0.0,0.0,0.7603461851055063,0.0,0.7603461851055063,0.0,0.7612861824016779,0.6408571208640174,0.0,0.4329602952312225,0.0,0.7327363840002412,0.8609715422097085,0.7223479855923995,0.7116076982258679,0.6497400462549651,0.6711389506452502,0.668562465141821,1.0,0.0,0.6847633138797301,0.0,0.0,0.0,0.0
Whipple's disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver cirrhosis,0.8395380620408792,0.6262923012698441,0.0,0.3280187337388117,0.0,0.0,0.0,0.0,0.0,0.9006118987748981,0.0,0.0044987573898828,0.0,0.9018223816460142,0.0,0.0,0.7896749934030337,0.0,0.8150924130261689,0.0,0.9095496988526138,0.8798865889117192,0.0,0.4844804599299589,0.0,0.7625125583518659,0.703650655357674,0.5177155714361007,0.7951852842935679,0.9098784630438794,0.9078411857056232,0.8930147655390615,0.6847633138797308,0.0,1.000000000000001,0.0,0.0,0.0,0.0
Allergic asthma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium difficile infection(CDI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin and mucosal infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New-onset untreated rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
