,Laryngeal Neoplasms,Celiac Disease,Coronary Artery Disease,Pancreatic Neoplasms,Endometrial Neoplasms,Acute Lymphoblastic Leukemia,Irritable Bowel Syndrome,Gastroenteritis,Hypertension,Constipation,Gallbladder Neoplasms,Urinary Bladder Neoplasms,Head and Neck Neoplasms,Rectal Neoplasms,Peripheral Arterial Disease,Alzheimer Disease,Biliary Tract Neoplasms,Parkinson Disease,Stomach Neoplasms,Ovarian Neoplasms,Esophageal Neoplasms,Liver Neoplasms,Lung Neoplasms,Crohn Disease,Prostatic Neoplasms,Pharyngeal Neoplasms,Gastroesophageal Reflux,Ulcerative Colitis,Uterine Cervical Neoplasms,Tongue Neoplasms,Thyroid Neoplasms,Mouth Neoplasms,Diverticular Diseases,Atherosclerosis,Inflammatory Bowel Diseases,Amyotrophic Lateral Sclerosis,Thrombosis,Breast Neoplasms,Colorectal Neoplasms,Coronary Heart Disease,Diarrhea
Ovarian Neoplasms,0.741351214148762,0.1635545178025477,0.9187526065951536,0.8069781365766455,0.8082413603493538,0.7916213272357461,0.0920483217865378,0.5034185492694396,0.8848822031988209,0.7422297704417975,0.7591203015445794,0.8905649941896627,0.7562261412111985,0.5220519876000899,0.8927405320459544,0.7794475686391001,0.1626089138424317,0.7997705967406098,0.803819916966126,1.0000000000000016,0.8021612972900494,0.9097708886651013,0.8528477568296803,0.6697999184964178,0.930012355678362,0.7257569186613569,0.2443869312479285,0.8953727602162426,0.9461896762957532,0.7778374618781528,0.8986904725689739,0.7866164104845307,0.0076235369049296,0.9187526065951536,0.6915070005333981,0.7860725456515237,0.7930966314033817,0.8916318796835423,0.909658058266329,0.8979385143070229,0.8112550050222552
Esophageal Neoplasms,0.8656395924716834,0.1808825408396031,0.817856324429873,0.8564373984497984,0.8072472537974219,0.8205497897659958,0.0967525566354981,0.5489003767894515,0.8105377165827484,0.7918815401025764,0.716161215874495,0.8300431818295226,0.8178340794508374,0.5616964601960294,0.8025430499269802,0.8150319668924597,0.1753212018119756,0.849242548371611,0.9251425389801772,0.8021612972900504,1.0,0.8231114115308856,0.7798674445631005,0.7130482399902237,0.8075839602506825,0.8569774342815176,0.2704141374733403,0.7893265328159966,0.8334761717227329,0.8927752227425235,0.7982108744515256,0.9002633158835134,0.0084312236927195,0.8276812533511299,0.7332493341643207,0.8411573995854807,0.8114752194150882,0.8241513330853187,0.8082322433465461,0.7985627250781967,0.8187398767235533
Liver Neoplasms,0.7322818181864511,0.1522388434690208,0.8664781905033762,0.8099737611937009,0.7607797562130552,0.7410576087523677,0.0907047572397361,0.465912137010097,0.8647894576156573,0.6940557196425866,0.7166709707430706,0.9362300277313462,0.6974356208359348,0.4886556339423442,0.8418905719342334,0.7520481367630422,0.1513959619505805,0.7866312570927713,0.8218775786482179,0.9097708886651016,0.8231114115308873,1.0000000000000004,0.8952250066308304,0.6287781030933773,0.9224155956671928,0.7205666364176361,0.2272829519090451,0.8437430305173352,0.916573112164735,0.7616043448686678,0.8608931383687272,0.7757857765392516,0.0071761866472939,0.9293421677614988,0.656700660979404,0.7523960613776571,0.7723539237645046,0.9289361108879796,0.8674193940674325,0.8496593973838058,0.7819773316777467
Lung Neoplasms,0.6845946124673021,0.1425866539909223,0.8333668849130266,0.7716278998335545,0.7032597946476672,0.7068887492034015,0.0861203440800646,0.4372637185112153,0.871291716931789,0.6577327979106796,0.6601145818112626,0.8920982413369328,0.6555293455177522,0.4667073559045913,0.8030577157181032,0.72209235172923,0.1420888968708496,0.7666595103448142,0.7890385293801441,0.8528477568296782,0.7798674445631012,0.8952250066308293,0.999999999999998,0.5858821161434692,0.8611948231478217,0.6716467556402725,0.2150037599200863,0.80960423442845,0.880880369280582,0.7104794540589728,0.8064290017260474,0.7397462781925395,0.0069976350590284,0.9015828900305752,0.6323413488873255,0.7269055151012765,0.79820945281109,0.8984459689308054,0.8197885203581194,0.8268730821351706,0.7363637975261832
Crohn Disease,0.7427021824462771,0.2363161270930461,0.6804007434763284,0.7066346765087945,0.7524393603034074,0.7690580991753866,0.1127888433434696,0.6296228319607619,0.8021636624131284,0.7598548595173564,0.721182274459852,0.6280288022932624,0.7666127908459389,0.6200316375327483,0.6966016066360606,0.7264041928499465,0.1997524818489359,0.7154171667004776,0.7095093855064495,0.6697999184964191,0.7130482399902229,0.6287781030933773,0.5858821161434695,1.000000000000001,0.638083953801922,0.7355754463720752,0.3203053560633161,0.6976756005594564,0.6539529895580405,0.7528822353585147,0.6874960094032653,0.741579428627351,0.0067368628736603,0.6804007434763284,0.7298691491056225,0.738526677902506,0.7712070725395785,0.7090198084135165,0.6766348340506928,0.6812892421801546,0.7270736294584613
Prostatic Neoplasms,0.7516819285400358,0.2255271373067523,0.8882424565449338,0.8078303669276693,0.788601640645047,0.7624929791073571,0.1310565892841505,0.4799073018816679,0.8438569261841279,0.7207879230316068,0.7360423861949175,0.9195490727139276,0.7189554926124004,0.5012799873885551,0.8628783479324582,0.7744081310521983,0.1900114737820967,0.8030802920179707,0.8065382280262943,0.9300123556783608,0.8075839602506816,0.9224155956671908,0.8611948231478201,0.6380839538019205,0.9999999999999996,0.7379982978493237,0.25361509264207,0.8583922243413307,0.9312628648735468,0.7810935924967306,0.8678560536606313,0.7938167114667799,0.0072683478807257,0.913779451929919,0.6759712959536086,0.7666904701314643,0.7828823816402959,0.8988059307783839,0.8855892479655543,0.8678591668895269,0.8064183074064699
Pharyngeal Neoplasms,0.9812208425546118,0.2044024264200918,0.7392535249702538,0.7576348493303267,0.7708917335041411,0.7861608244784397,0.1092615867129025,0.5851628232595013,0.7910636450956021,0.7549131092869801,0.7118213311908411,0.7194822152490365,0.7775144660251966,0.5837177650553986,0.7435566433029291,0.7666198555988617,0.1857297678507459,0.8407010754788062,0.8398548032627635,0.7257569186613583,0.8569774342815191,0.7205666364176359,0.6716467556402733,0.7355754463720753,0.7379982978493252,1.000000000000001,0.2912902694304718,0.7428042797421863,0.754578852668879,0.9388194460752332,0.7347447152255097,0.9078589135875592,0.0078678900176034,0.7392535249702538,0.724952693544378,0.7829791184341939,0.7693492827499663,0.7457387811329791,0.7313208349971314,0.7390706916966008,0.7596533460179039
Gastroesophageal Reflux,0.2920721292999909,0.2186816705081937,0.2512941168252754,0.266153248970092,0.288018350205462,0.2916576762543831,0.1878133572804431,0.3549499514131733,0.3291856215756815,0.3019229655036171,0.2945437059432887,0.2268248129508984,0.3058917592130985,0.3069661432909129,0.26327498720241,0.2785627406285888,0.2176996045726175,0.2684445609627932,0.2657275321602255,0.2443869312479284,0.2704141374733408,0.227282951909045,0.2150037599200869,0.3203053560633163,0.2536150926420703,0.2912902694304716,1.0,0.2603102991707328,0.2387344638204005,0.2907099316770711,0.256265855111196,0.2818694991545741,0.0,0.2881606475894546,0.307715860915362,0.283445360014027,0.3486718322514484,0.3350265079931747,0.250401391568209,0.2541225623476026,0.2711807425046158
Ulcerative Colitis,0.7530553736520679,0.1745606089130632,0.9168316091842188,0.782445739609754,0.7836436942192484,0.7940608291021124,0.0971599766269313,0.5279475871910974,0.942139104864264,0.7469342647889395,0.7062236005384371,0.8506411391857257,0.7588848543592561,0.5470037118829262,0.9326113245760028,0.7846626621410939,0.1697620410541652,0.8207526243325076,0.7852503574700855,0.8953727602162386,0.7893265328159949,0.8437430305173338,0.8096042344284512,0.697675600559456,0.8583922243413291,0.742804279742185,0.2603102991707329,0.9999999999999986,0.8780764272286926,0.7845589392644948,0.9147700462618616,0.787213000246044,0.0081365483636612,0.9168316091842188,0.7161868438753642,0.7962416892553942,0.7971368962873967,0.9429872702555132,0.9057656309665144,0.9384879053171058,0.7952273963566395
Uterine Cervical Neoplasms,0.7664576216988718,0.1592932789934897,0.9193309784742422,0.8054805631112838,0.7801369134476716,0.7805233211212265,0.096565260063565,0.490244879822008,0.8624908155131917,0.7230425786304332,0.7401031445429679,0.919623999024347,0.736600552815075,0.5092199424279186,0.888649639339427,0.7770694115096445,0.1633862823057927,0.8217525821448604,0.8384300993638675,0.9461896762957542,0.8334761717227333,0.9165731121647348,0.8808803692805827,0.6539529895580403,0.9312628648735484,0.7545788526688786,0.2387344638204002,0.8780764272286944,1.0000000000000004,0.8003804599513694,0.8815326670122207,0.8220888268758129,0.0074249137683875,0.9328760141216672,0.6945207338562507,0.8011297236012713,0.7899717744245882,0.9056567024442936,0.891087401881569,0.898348917725151,0.7933098340272638
Tongue Neoplasms,0.9424287368188108,0.1968993684840079,0.7889746463282239,0.8138759715918353,0.8170746254840222,0.8411518050821195,0.105107846271245,0.5877620210194603,0.8373957224376377,0.7879095540112799,0.7335573760704915,0.757104919990528,0.8387030055649732,0.59476360476109,0.7801262286153985,0.8093878754457087,0.1818048084645904,0.8691904547142401,0.8885743066625525,0.7778374618781523,0.8927752227425212,0.7616043448686649,0.7104794540589711,0.752882235358514,0.7810935924967289,0.9388194460752306,0.2907099316770711,0.7845589392644936,0.8003804599513678,0.999999999999998,0.7823209871526573,0.923291642318285,0.0092396663378717,0.7889746463282239,0.7433465111861034,0.8208603229172987,0.8143529610522732,0.7788999542109217,0.7766526834482128,0.782679805347166,0.813891680544445
Thyroid Neoplasms,0.7452101701961921,0.1717232283725642,0.9098983224901828,0.7942052340614791,0.7992965929821523,0.7953534778268907,0.1011312674796293,0.5215243460084784,0.9297585781020796,0.7381887941472683,0.7031222228498466,0.8505709369121465,0.7647506308486345,0.5482237662755286,0.9236605764163236,0.7925701692111131,0.1696179125847623,0.7983807755973304,0.7969340386740701,0.8986904725689756,0.7982108744515266,0.8608931383687284,0.8064290017260503,0.6874960094032665,0.8678560536606346,0.73474471522551,0.2562658551111962,0.9147700462618672,0.8815326670122228,0.7823209871526612,1.0000000000000036,0.7816266542795413,0.0080222002286674,0.9098983224901828,0.7109099624562539,0.7921785892005522,0.7822345068502295,0.9377593518091524,0.918921436247684,0.9046100155439556,0.8112831419419401
Mouth Neoplasms,0.9166306146945806,0.1911847660164059,0.811178832419204,0.8332748120430147,0.8185712589966113,0.8232569201994753,0.1013035952370122,0.5764000780037264,0.8329527946868553,0.8041605371033476,0.7308187920252633,0.7868618043915014,0.8446984774177901,0.5796780336822341,0.7786061469401462,0.8118127381373289,0.1815617452521246,0.8642755399417675,0.9155008060478348,0.7866164104845309,0.9002633158835127,0.7757857765392503,0.7397462781925385,0.7415794286273494,0.7938167114667798,0.9078589135875574,0.2818694991545741,0.7872130002460452,0.8220888268758135,0.9232916423182856,0.7816266542795394,1.000000000000001,0.0089313629157206,0.811178832419204,0.7936587659903687,0.836924294706351,0.819388130431387,0.7782427004853575,0.7966517326473673,0.8020409526402359,0.8243376801566626
Diverticular Diseases,0.0077216911761081,0.0,0.0078390033535208,0.0082776692194126,0.0090800345695734,0.0092415126914996,0.0,0.0111207257711433,0.0112870843214456,0.0097653642401236,0.009853962491172,0.0071580952710132,0.009981789862415,0.0085411524253569,0.0082333450113352,0.0087289550354899,0.0089561017772173,0.0084330942496925,0.0082644289416897,0.0076235369049296,0.0084312236927195,0.0071761866472939,0.0069976350590284,0.0067368628736603,0.0072683478807257,0.0078678900176034,0.0,0.0081365483636612,0.0074249137683875,0.0092396663378717,0.0080222002286674,0.0089313629157206,1.0000000000000004,0.0078390033535208,0.0104346620486086,0.0089449159671356,0.0126936674522085,0.0091918569101719,0.0122333883972977,0.007935178520604,0.0084340299951783
Atherosclerosis,0.7545926910887782,0.210999894616238,0.999999999999998,0.8234087571974816,0.811875310640008,0.8144095537263332,0.1228288343417171,0.5145435025773494,0.9115725511592052,0.7492754149562398,0.7150329383281663,0.9261100481384328,0.7676715857757901,0.5334993753386144,0.9460632619087698,0.8142867480332298,0.1915196568627461,0.8284355979622531,0.8371292074375112,0.9187526065951502,0.8276812533511293,0.9293421677614964,0.9015828900305746,0.6804007434763272,0.9137794519299176,0.7392535249702528,0.2881606475894548,0.9168316091842196,0.9328760141216657,0.788974646328223,0.9098983224901792,0.8111788324192032,0.0078390033535208,0.9999999999999994,0.7228333732659278,0.8397562680368972,0.8132261793804713,0.923492308785038,0.9170505755640628,0.949388130981222,0.8122152739743143
Inflammatory Bowel Diseases,0.732692738538215,0.2221151476307423,0.7228333732659279,0.7701995741944948,0.7781464979566439,0.7959965251049045,0.1107189131259088,0.606432537769164,0.8016769497724788,0.7952834338225502,0.705080400623539,0.6668439365416341,0.7804121025687569,0.5783793639113856,0.7106792387113083,0.7373553078973308,0.2011875458410351,0.7152917764400167,0.7497748258431006,0.691507000533399,0.7332493341643188,0.6567006609794045,0.6323413488873257,0.7298691491056217,0.6759712959536097,0.7249526935443783,0.307715860915362,0.7161868438753649,0.6945207338562503,0.7433465111861041,0.7109099624562514,0.793658765990369,0.0104346620486086,0.7228333732659279,1.0,0.7819041838363399,0.7879492615836098,0.7204752318556096,0.7030706102208755,0.7275682503730629,0.7718429982457709
Amyotrophic Lateral Sclerosis,0.7997670323910232,0.1908323494890973,0.8397562680368992,0.8117458651180592,0.797049031559484,0.8459989698310727,0.1029449641231662,0.5715117195947135,0.8042561260353499,0.7813979089120072,0.7258776593129802,0.761852793296653,0.7958835385339473,0.5928071253022482,0.8236368296174794,0.85372732042573,0.1766300067121059,0.8417235883172761,0.8308210892417387,0.7860725456515244,0.8411573995854804,0.7523960613776558,0.7269055151012755,0.7385266779025069,0.7666904701314646,0.7829791184341948,0.2834453600140271,0.7962416892553947,0.8011297236012712,0.8208603229173004,0.7921785892005504,0.8369242947063522,0.0089449159671356,0.8397562680368992,0.7819041838363405,1.0000000000000002,0.805653367183398,0.7862237321102716,0.804367393675693,0.8302387530412162,0.8168011376519151
Thrombosis,0.7799074335369269,0.2658364042360692,0.813226179380473,0.861220862994132,0.9219549741576128,0.8781626639466278,0.1618615925269035,0.5969152294826837,0.8582516359189238,0.858890895293047,0.7748792405456617,0.7731241918928624,0.8557638824742351,0.6102327446483097,0.7801850450945371,0.8027843800492572,0.2072566844037152,0.7975524432921145,0.8088861835935474,0.7930966314033842,0.811475219415089,0.7723539237645058,0.7982094528110903,0.7712070725395788,0.7828823816402984,0.7693492827499674,0.3486718322514485,0.7971368962873979,0.7899717744245892,0.8143529610522743,0.7822345068502283,0.8193881304313883,0.0126936674522085,0.813226179380473,0.7879492615836101,0.8056533671833994,1.0000000000000036,0.7755863058515982,0.7923480623008964,0.7907252440490324,0.8749443846048068
Breast Neoplasms,0.7544955196705757,0.2242171898045627,0.9122321623767832,0.8118694948761594,0.7957184724352376,0.7901485771109824,0.1220228136826739,0.5848099130562908,0.98700841221074,0.7951282493350219,0.7132359559425409,0.9137200142987548,0.8160304440283074,0.582177324838375,0.9517165324566942,0.7786506817980559,0.1998601633886388,0.8117900965082715,0.8370125344317947,0.8916318796835436,0.824151333085317,0.928936110887978,0.898445968930805,0.7090198084135176,0.8988059307783842,0.74573878113298,0.3350265079931753,0.9429872702555177,0.905656702444292,0.7788999542109244,0.9377593518091514,0.7782427004853584,0.0091918569101719,0.9234923087850374,0.720475231855611,0.7862237321102721,0.7755863058515962,1.000000000000002,0.9137895667331613,0.9227891614316084,0.784475865062082
Colorectal Neoplasms,0.7469539676452736,0.1678507002630197,0.9170505755640632,0.7973134517267332,0.7981417908716718,0.7951727552106855,0.1281769877051531,0.5153382083898219,0.9069040810134512,0.7499241500780638,0.697501620226372,0.8544404683196096,0.7702763202856873,0.5366718406489082,0.9164407172083416,0.810877992613261,0.7150112154425086,0.7974870972676412,0.8116888719198582,0.9096580582663272,0.808232243346546,0.8674193940674302,0.8197885203581183,0.6766348340506934,0.8855892479655536,0.7313208349971314,0.2504013915682091,0.905765630966516,0.8910874018815677,0.7766526834482151,0.9189214362476814,0.7966517326473692,0.0122333883972977,0.9170505755640632,0.7030706102208768,0.8043673936756944,0.7923480623008962,0.9137895667331598,0.9999999999999984,0.9106946855848634,0.814567847640176
Coronary Heart Disease,0.7550089445548006,0.1696704410843353,0.9493881309812244,0.8009602437867503,0.7822710198212139,0.8082710436041818,0.095811153668827,0.5205483537515989,0.9206653204441096,0.7379178016779063,0.7026512453582213,0.8702308706550053,0.7511005010010945,0.5376364807665964,0.9303898496151692,0.809185433471977,0.1662997434951507,0.8304417293944966,0.8071132107168173,0.8979385143070222,0.7985627250781943,0.849659397383805,0.8268730821351717,0.6812892421801527,0.8678591668895274,0.7390706916965988,0.2541225623476027,0.9384879053171084,0.8983489177251492,0.7826798053471662,0.9046100155439528,0.8020409526402346,0.007935178520604,0.9493881309812244,0.7275682503730622,0.8302387530412139,0.7907252440490312,0.922789161431606,0.910694685584864,1.0000000000000009,0.7940259475114646
Diarrhea,0.7776670951352701,0.1833456735882502,0.8122152739743136,0.8576663473289963,0.8662537879046156,0.8590836624899061,0.1149633957005238,0.5577903672482922,0.8516568546117965,0.8526609588554843,0.7425887743861797,0.7752871319302903,0.8385064173847622,0.5680641364482899,0.787355545045811,0.825754380678891,0.1861812092800851,0.8194869153769173,0.8308865608917593,0.8112550050222544,0.8187398767235511,0.7819773316777447,0.7363637975261824,0.7270736294584611,0.8064183074064701,0.7596533460179036,0.2711807425046156,0.7952273963566396,0.7933098340272626,0.8138916805444453,0.8112831419419374,0.8243376801566624,0.0084340299951783,0.8122152739743136,0.7718429982457704,0.8168011376519139,0.874944384604806,0.7844758650620799,0.8145678476401741,0.7940259475114643,1.0
